Level,District Code,District_Name,School Code,School_Name,Content,Test_Grade,# of Total Records,Valid_Scores,# of No Scores,Participation Rate,Mean Scale Score,# Did Not Yet Meet Expectations,Percent_Did_Not_Yet_Meet_Expectations,# Partially Met Expectations,Percent_Partially_Met_Expectations,# Approached Expectations,Percent_Approached_Expectations,# Met Expectations,Percent_Met_Expectations,# Exceeded Expectations,Percent_Exceeded_Expectations,# Met or Exceeded Expectations,Percent_Met_or_Exceeded_Expectations,2017 Mean Scale Score**,2017 # Met or Exceeded Expectations**,2017 % Met or Exceeded Expectations**,% Change in Met or Exceeded Expectations**
STATE,0000,All Districts,0000,All Schools,English Language Arts,All Grades," 399,898"," 376,402","  23,496",94.1,743,"  48,591",12.9,"  64,756",17.2,"  95,500",25.4," 134,683",35.8,"  32,872",8.7," 167,555",44.5,741," 176,307",42.3,   2.2
STATE,0000,All Districts,0000,All Schools,English Language Arts,English Language Arts Grade 03,"  64,851","  63,016","   1,835",97.2,739,"  11,198",17.8,"  11,395",18.1,"  14,993",23.8,"  23,097",36.7,"   2,333",3.7,"  25,430",40.4,738,"  25,532",40.1,   0.3
STATE,0000,All Districts,0000,All Schools,English Language Arts,English Language Arts Grade 04,"  66,970","  64,789","   2,181",96.7,745,"   6,875",10.6,"  11,158",17.2,"  16,908",26.1,"  23,090",35.6,"   6,758",10.4,"  29,848",46.1,743,"  28,281",44.1,   2.0
STATE,0000,All Districts,0000,All Schools,English Language Arts,English Language Arts Grade 05,"  68,138","  65,359","   2,779",95.9,746,"   6,448",9.9,"  10,527",16.1,"  17,419",26.7,"  27,363",41.9,"   3,602",5.5,"  30,965",47.4,745,"  29,321",46.3,   1.1
STATE,0000,All Districts,0000,All Schools,English Language Arts,English Language Arts Grade 06,"  67,590","  63,647","   3,943",94.2,743,"   6,653",10.5,"  12,049",18.9,"  17,676",27.8,"  22,344",35.1,"   4,925",7.7,"  27,269",42.8,741,"  24,687",40.6,   2.2
STATE,0000,All Districts,0000,All Schools,English Language Arts,English Language Arts Grade 07,"  66,226","  60,907","   5,319",92.0,744,"   8,793",14.4,"   9,563",15.7,"  14,184",23.3,"  19,192",31.5,"   9,175",15.1,"  28,367",46.6,743,"  25,993",44.2,   2.4
STATE,0000,All Districts,0000,All Schools,English Language Arts,English Language Arts Grade 08,"  66,123","  58,684","   7,439",88.7,743,"   8,624",14.7,"  10,064",17.1,"  14,320",24.4,"  19,597",33.4,"   6,079",10.4,"  25,676",43.8,742,"  24,368",43.4,   0.4
STATE,0000,All Districts,0000,All Schools,Mathematics,All Grades," 402,675"," 379,681","  22,994",94.3,735,"  56,049",14.8,"  87,617",23.1," 106,506",28.1," 111,650",29.4,"  17,859",4.7," 129,509",34.1,734," 137,649",32.8,   1.3
STATE,0000,All Districts,0000,All Schools,Mathematics,Mathematics Grade 03,"  66,498","  64,714","   1,784",97.3,739,"   9,229",14.3,"  12,789",19.8,"  17,389",26.9,"  20,050",31.0,"   5,257",8.1,"  25,307",39.1,739,"  26,142",40.0,  -0.9
STATE,0000,All Districts,0000,All Schools,Mathematics,Mathematics Grade 04,"  68,119","  65,995","   2,124",96.9,734,"  10,163",15.4,"  15,514",23.5,"  17,976",27.2,"  20,532",31.1,"   1,810",2.7,"  22,342",33.9,735,"  22,134",34.0,  -0.1
STATE,0000,All Districts,0000,All Schools,Mathematics,Mathematics Grade 05,"  68,134","  65,516","   2,618",96.2,737,"   8,943",13.7,"  15,150",23.1,"  18,135",27.7,"  19,228",29.3,"   4,060",6.2,"  23,288",35.5,736,"  21,313",33.6,   1.9
STATE,0000,All Districts,0000,All Schools,Mathematics,Mathematics Grade 06,"  67,584","  63,765","   3,819",94.3,733,"   8,998",14.1,"  17,315",27.2,"  18,098",28.4,"  16,680",26.2,"   2,674",4.2,"  19,354",30.4,733,"  18,829",30.9,  -0.5
STATE,0000,All Districts,0000,All Schools,Mathematics,Mathematics Grade 07,"  65,109","  59,983","   5,126",92.1,733,"   7,356",12.3,"  14,819",24.7,"  20,527",34.2,"  15,614",26.0,"   1,667",2.8,"  17,281",28.8,732,"  14,522",25.8,   3.0
STATE,0000,All Districts,0000,All Schools,Mathematics,Mathematics Grade 08,"  55,261","  49,189","   6,072",89.0,728,"  11,277",22.9,"  11,587",23.6,"  12,471",25.4,"  12,508",25.4,"   1,346",2.7,"  13,854",28.2,722,"   9,064",21.0,   7.2
STATE,0000,All Districts,0000,All Schools,Mathematics,Algebra I,"   9,259","   8,097","   1,162",87.5,768,*,*,*,*,"   1,568",19.4,"   5,414",66.9,     658,8.1,"   6,072",75.0,NA,NA,NA,NA
STATE,0000,All Districts,0000,All Schools,Mathematics,Geometry,"   1,916","   1,661",     255,86.7,767,*,*,*,*,     198,11.9,"   1,123",67.6,     305,18.4,"   1,428",86.0,NA,NA,NA,NA
STATE,0000,All Districts,0000,All Schools,Mathematics,Integrated I,     704,     672,      32,95.5,764,*,*,*,*,*,*,     453,67.4,      49,7.3,     502,74.7,NA,NA,NA,NA
STATE,0000,All Districts,0000,All Schools,Mathematics,Integrated II,      91,      89,       2,97.8,777,*,*,*,*,*,*,      48,53.9,      33,37.1,      81,91.0,NA,NA,NA,NA
DISTRICT,1040,ACADEMY 20,0000,All Schools,English Language Arts,All Grades,"  10,911","  10,012",     899,91.8,756,     502,5.0,"   1,069",10.7,"   2,450",24.5,"   4,764",47.6,"   1,227",12.3,"   5,991",59.8,753,"   6,217",56.1,   3.7
DISTRICT,1040,ACADEMY 20,0000,All Schools,English Language Arts,English Language Arts Grade 03,"   1,657","   1,588",      69,95.8,752,     112,7.1,     192,12.1,     405,25.5,     809,50.9,      70,4.4,     879,55.4,753,     900,56.7,  -1.3
DISTRICT,1040,ACADEMY 20,0000,All Schools,English Language Arts,English Language Arts Grade 04,"   1,793","   1,681",     112,93.8,759,      57,3.4,     174,10.4,     390,23.2,     804,47.8,     256,15.2,"   1,060",63.1,753,     907,57.1,   6.0
DISTRICT,1040,ACADEMY 20,0000,All Schools,English Language Arts,English Language Arts Grade 05,"   1,745","   1,631",     114,93.5,756,      45,2.8,     160,9.8,     426,26.1,     905,55.5,      95,5.8,"   1,000",61.3,755,     956,60.9,   0.4
DISTRICT,1040,ACADEMY 20,0000,All Schools,English Language Arts,English Language Arts Grade 06,"   1,863","   1,680",     183,90.2,753,      75,4.5,     187,11.1,     446,26.5,     821,48.9,     151,9.0,     972,57.9,751,     862,54.7,   3.2
