Dir_Name_Display,Dir_School_Code,Dir_Zip,Dir_School_Code - Longitude,Dir_School_Code - Latitude,Dir_Ward,GR_Text,Facil_Art,Facil_Audit,Facil_Comp,Facil_Gym,Facil_Media,Facil_Music,Facil_Outdoor_Rec,Facil_Pool,Facil_Science,After_care,Before_care,Uniform,Title_1,Trans_Bus,Trans_Metro,Enroll_Total,Demo_Asian,Demo_Black,Demo_Hispanic,Demo_N.Amer,Demo_White,Demo_Multi,Demo_NHawPI,Demo_ELL,Demo_SPED,Demo_EconDis,Demo_Inboundary,math_pct_1_current,math_pct_1_prior,math_pct_2_current,math_pct_2_prior,math_pct_3_current,math_pct_3_prior,math_pct_4_current,math_pct_4_prior,math_pct_5_current,math_pct_5_prior,math_district_pct_1,math_district_pct_2,math_district_pct_3,math_district_pct_4,math_district_pct_5,ela_pct_1_current,ela_pct_1_prior,ela_pct_2_current,ela_pct_2_prior,ela_pct_3_current,ela_pct_3_prior,ela_pct_4_current,ela_pct_4_prior,ela_pct_5_current,ela_pct_5_prior,ela_district_pct_1,ela_district_pct_2,ela_district_pct_3,ela_district_pct_4,ela_district_pct_5,Perf_Grad_4yr_Current_Year,Perf_Grad_4yr_Prior_Year,Perf_Grad_4yr_District_Average,Perf_Grad_5yr_Current_Year,Perf_Grad_5yr_Prior_Year,Perf_Grad_5yr_District_Average,Perf_AP_Current_Year,Perf_AP_Prior_Year,Perf_AP_District_Average,Safe_Truancy_Current_Year,Safe_Truancy_Prior_Year,Safe_Truancy_District_Average,Safe_Suspension_Current_Year,Safe_Suspension_Prior_Year,Safe_Suspension_District_Average,Safe_Incidents_Current_Year,Safe_Incidents_Prior_Year,Safe_Incidents_District_Average,Safe_Safety_Current_Year,Safe_Safety_Prior_Year,Safe_Safety_District_Average,Perf_Engage_Current_Year,Perf_Engage_Prior_Year,Perf_Engage_District_Average,Perf_Teachers_Current_Year,Perf_Teachers_Prior_Year,Perf_Teachers_District_Average
Aiton Elementary School,202,20019,-76.93370092,38.89700181,7,PK3-5th,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,U5 U6 V2 V4 W4 X9,,251,0%,100%,0%,0%,0%,0%,0%,0%,16%,100%,42%,25%,33%,36%,32%,21%,22%,19%,14%,0%,0%,23%,27%,23%,23%,5%,41%,51%,26%,23%,21%,21%,12%,4%,0%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,21%,5%,13%,5%,7%,4%,0%,0%,0%,94%,95%,85%,100%,99%,89%,NA,85%,92%
Amidon-Bowen Elementary School,203,20024,-77.0181253,38.8795154,6,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,74 A9 P6 V1 W9,Green Line: Waterfront-SEU Station,350,2%,88%,4%,0%,5%,1%,0%,1%,23%,100%,41%,53%,44%,25%,28%,16%,16%,5%,11%,1%,1%,23%,27%,23%,23%,5%,47%,50%,26%,26%,17%,16%,10%,9%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,7%,7%,13%,8%,15%,4%,0%,0%,0%,80%,74%,85%,88%,80%,89%,92%,92%,92%
Bancroft Elementary School @ Sharpe,204,20011,-77.03121,38.94344,1,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,52 53 54 60 62 63 70 79 D33 S1 S2 S4 S9 W45,Green/Yellow Lines: Columbia Heights Metro Station,530,6%,8%,68%,0%,17%,1%,0%,48%,11%,100%,58%,20%,16%,26%,24%,25%,29%,23%,25%,5%,5%,23%,27%,23%,23%,5%,27%,26%,19%,28%,27%,26%,22%,19%,5%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,2%,1%,13%,2%,1%,4%,0%,0%,0%,89%,90%,85%,96%,94%,89%,96%,96%,92%
Barnard Elementary School,205,20011,-77.01777708,38.94823095,4,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,60 62 63 64 70 79,,649,0%,47%,48%,0%,3%,1%,0%,34%,12%,100%,68%,8%,13%,21%,26%,37%,27%,32%,31%,2%,3%,23%,27%,23%,23%,5%,14%,15%,19%,21%,25%,31%,37%,27%,4%,5%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,4%,1%,13%,4%,3%,4%,0%,0%,0%,93%,90%,85%,95%,97%,89%,96%,93%,92%
Beers Elementary School,206,20020,-76.95560475,38.86434984,7,PK3-5th,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,30N 30S 32 36 39 D51 M6 S35 V5 W3 W4,,464,0%,98%,0%,0%,1%,0%,0%,0%,23%,100%,44%,26%,25%,27%,29%,26%,25%,20%,20%,1%,1%,23%,27%,23%,23%,5%,23%,31%,28%,26%,23%,26%,24%,17%,2%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,1%,13%,0%,0%,4%,0%,0%,0%,92%,92%,85%,99%,97%,89%,100%,97%,92%
Brent Elementary School,212,20003,-77.00145985,38.88480121,6,PK3-5th,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,30N 30S 32 34 36 39 90 92 97 DCCirculator,Blue/Orange/Silver Lines: Capitol South Station,404,3%,17%,7%,0%,66%,6%,0%,3%,8%,10%,65%,5%,8%,14%,7%,20%,24%,39%,46%,22%,15%,23%,27%,23%,23%,5%,4%,7%,11%,14%,21%,18%,51%,49%,14%,12%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1%,0%,13%,1%,2%,4%,0%,0%,0%,93%,90%,85%,93%,93%,89%,92%,78%,92%
Brightwood Education Campus,213,20011,-77.03068885,38.96053573,4,PK3-8th,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,52 53 54 70 79 E2 E4 D31 D33 D34 S1 S2 S4 S9 W45,,755,1%,22%,75%,0%,1%,0%,0%,60%,10%,100%,74%,22%,24%,28%,32%,23%,24%,26%,17%,1%,3%,23%,27%,23%,23%,5%,35%,43%,23%,26%,24%,19%,17%,12%,1%,1%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,15%,3%,15%,7%,4%,4%,0%,0%,0%,81%,79%,86%,86%,85%,85%,90%,96%,92%
Burroughs Elementary School,220,20018,-76.97845637,38.93350266,5,PK3-5th,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,83 86 E2 G8 H6 T14 T18,,290,1%,88%,9%,0%,2%,0%,0%,5%,17%,100%,44%,13%,12%,36%,22%,28%,35%,23%,31%,0%,1%,23%,27%,23%,23%,5%,31%,21%,27%,24%,27%,31%,14%,24%,1%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,16%,0%,13%,1%,2%,4%,0%,0%,0%,80%,86%,85%,87%,90%,89%,100%,91%,92%
Burrville Elementary School,221,20019,-76.92445918,38.90056577,7,PK3-5th,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,U4 V2 V4 W4 X9,,325,0%,98%,1%,1%,0%,1%,0%,1%,7%,100%,56%,24%,31%,33%,34%,28%,23%,13%,11%,2%,0%,23%,27%,23%,23%,5%,27%,40%,31%,26%,29%,24%,14%,10%,0%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,38%,22%,13%,2%,1%,4%,0%,0%,0%,99%,99%,85%,100%,100%,89%,91%,100%,92%
Cleveland Elementary School,224,20001,-77.02270718,38.91514529,1,PK3-5th,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,63 64 70 79 90 92 96 G2 G8 G9 X3,Green/Yellow Lines: Shaw Station,321,1%,60%,31%,0%,6%,2%,0%,15%,14%,100%,31%,16%,11%,27%,25%,28%,30%,24%,30%,4%,3%,23%,27%,23%,23%,5%,22%,14%,28%,20%,24%,37%,24%,29%,2%,0%,26%,21%,21%,25%,7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,11%,6%,13%,9%,2%,4%,0%,0%,0%,74%,88%,85%,80%,96%,89%,95%,96%,92%
