School Category,Code,Name,Total Enrolled,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO,UN/CE
DCPS Adult Education Schools,462,Ballou STAY High School,495,0,0,0,0,0,0,0,0,0,0,0,88,45,71,67,224,0
DCPS Adult Education Schools,456,Roosevelt STAY High School,515,0,0,0,0,0,0,0,0,0,0,0,125,60,79,67,184,0
DCPS Special Education Schools,304,River Terrace Education Campus,137,0,0,0,0,0,7,4,9,7,13,7,0,0,0,0,0,90
DCPS Youth Engagement Schools,947,CHOICE Academy @ Wash Met,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DCPS Youth Engagement Schools,950,Inspiring Youth Program,40,0,0,0,0,0,0,0,0,0,0,0,11,10,9,10,0,0
DCPS Youth Engagement Schools,861,Youth Services Center,52,0,0,0,0,0,0,0,0,0,0,3,35,12,2,0,0,0
General Education Residential Schools,994,General Education Residential Schools,9,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0
DCPS Schools ,202,Aiton Elementary School,243,31,43,39,33,20,21,30,26,0,0,0,0,0,0,0,0,0
DCPS Schools ,203,Amidon-Bowen Elementary School,351,25,40,37,45,50,49,46,59,0,0,0,0,0,0,0,0,0
DCPS Schools ,450,Anacostia High School,379,0,0,0,0,0,0,0,0,0,0,0,89,91,83,95,0,21
DCPS Schools ,452,Ballou High School,880,0,0,0,0,0,0,0,0,0,0,0,267,169,239,196,0,9
DCPS Schools ,204,Bancroft Elementary School @ Sharpe,544,43,57,80,78,68,78,67,73,0,0,0,0,0,0,0,0,0
DCPS Schools ,205,Barnard Elementary School,642,61,84,90,80,88,79,86,74,0,0,0,0,0,0,0,0,0
DCPS Schools ,206,Beers Elementary School,484,42,55,75,72,68,49,78,45,0,0,0,0,0,0,0,0,0
DCPS Schools ,402,Benjamin Banneker High School,482,0,0,0,0,0,0,0,0,0,0,0,142,115,121,104,0,0
DCPS Schools ,212,Brent Elementary School,425,32,34,72,62,64,64,53,44,0,0,0,0,0,0,0,0,0
