School Code,School Name,Subgroup,# Graduates,Total in Subgroup
402,Benjamin Banneker HS,All,96,96
402,Benjamin Banneker HS,American Indian,,
402,Benjamin Banneker HS,Asian,,
402,Benjamin Banneker HS,Black,77,77
402,Benjamin Banneker HS,Ever ELL,,
402,Benjamin Banneker HS,Ever SPED,,
402,Benjamin Banneker HS,Female,74,74
402,Benjamin Banneker HS,Hispanic,13,13
402,Benjamin Banneker HS,Male,22,22
402,Benjamin Banneker HS,Multi-Racial,,
402,Benjamin Banneker HS,Pacific Islander,,
442,Columbia Heights EC (CHEC),All,247,282.000008
442,Columbia Heights EC (CHEC),Asian,,
442,Columbia Heights EC (CHEC),Black,86,87.99999805
442,Columbia Heights EC (CHEC),Ever ELL,98,127.0000017
442,Columbia Heights EC (CHEC),Ever SPED,26,28.00000077
442,Columbia Heights EC (CHEC),Female,137,155.0000015
442,Columbia Heights EC (CHEC),Hispanic,158,189.9999948
442,Columbia Heights EC (CHEC),Male,110,126.9999994
442,Columbia Heights EC (CHEC),Multi-Racial,,
442,Columbia Heights EC (CHEC),Pacific Islander,,
442,Columbia Heights EC (CHEC),White,,
450,Anacostia HS,All,96,162.9999955
450,Anacostia HS,Black,95,161.9999978
450,Anacostia HS,Ever SPED,19,49.00000077
450,Anacostia HS,Female,53,78.00000123
450,Anacostia HS,Hispanic,,
450,Anacostia HS,Male,43,84.99999505
452,Ballou HS,All,160,250.9999925
452,Ballou HS,Asian,,
452,Ballou HS,Black,158,246.0000063
452,Ballou HS,Ever ELL,,
452,Ballou HS,Ever SPED,28,64
452,Ballou HS,Female,81,115.9999997
452,Ballou HS,Hispanic,,
452,Ballou HS,Male,79,135.0000035
452,Ballou HS,Pacific Islander,,
454,Cardozo EC,All,119,198.9999911
454,Cardozo EC,Asian,,
454,Cardozo EC,Black,55,81.99999804
454,Cardozo EC,Ever ELL,56,105.9999984
454,Cardozo EC,Ever SPED,22,32.99999902
454,Cardozo EC,Female,58,81.00000108
454,Cardozo EC,Hispanic,63,114.0000045
454,Cardozo EC,Male,61,117.9999945
454,Cardozo EC,White,,
455,Coolidge HS,All,69,97.99999695
455,Coolidge HS,Black,57,71.99999819
455,Coolidge HS,Ever ELL,12,23.00000023
455,Coolidge HS,Ever SPED,,
455,Coolidge HS,Female,31,44.99999879
455,Coolidge HS,Hispanic,12,25.99999987
455,Coolidge HS,Male,38,53.00000141
456,Roosevelt STAY,All,10,51.99999907
456,Roosevelt STAY,Black,,
456,Roosevelt STAY,Ever ELL,,
456,Roosevelt STAY,Ever SPED,,
456,Roosevelt STAY,Female,,
456,Roosevelt STAY,Hispanic,,
456,Roosevelt STAY,Male,,
456,Roosevelt STAY,Multi-Racial,,
457,Eastern HS,All,195,247.9999921
457,Eastern HS,Black,188,240.999996
457,Eastern HS,Ever ELL,,
457,Eastern HS,Ever SPED,47,75.99999692
457,Eastern HS,Female,105,125.0000039
457,Eastern HS,Hispanic,,
457,Eastern HS,Male,90,122.9999971
457,Eastern HS,White,,
458,McKinley Technology HS,All,119,124.0000027
458,McKinley Technology HS,Black,110,114.9999988
458,McKinley Technology HS,Ever ELL,,
458,McKinley Technology HS,Ever SPED,,
458,McKinley Technology HS,Female,83,84.99999988
458,McKinley Technology HS,Hispanic,,
458,McKinley Technology HS,Male,36,38.99999981
458,McKinley Technology HS,Multi-Racial,,
458,McKinley Technology HS,White,,
459,Roosevelt HS,All,103,170.9999924
459,Roosevelt HS,Black,72,100.9999963
459,Roosevelt HS,Ever ELL,22,50.99999952
459,Roosevelt HS,Ever SPED,18,32
459,Roosevelt HS,Female,45,68.00000252
459,Roosevelt HS,Hispanic,29,64.99999953
459,Roosevelt HS,Male,58,103.0000038
459,Roosevelt HS,White,,
462,Ballou STAY,All,14,79.0000005
462,Ballou STAY,Black,14,79.0000005
462,Ballou STAY,Ever SPED,,
462,Ballou STAY,Female,,
