RegionType,RegionName,StateName,MSAName,AllHomes_Tier1,AllHomes_Tier2,AllHomes_Tier3,AllHomes_AllTiers,UWHomes_Tier1,UWHomes_Tier2,UWHomes_Tier3,UWHomes_AllTiers,UWHomes_TotalValue_Tier1,UWHomes_TotalValue_Tier2,UWHomes_TotalValue_Tier3,UWHomes_TotalValue_AllTiers,UWHomes_MedianValue_AllTiers,AllHomes_Tier1_ShareUW,AllHomes_Tier2_ShareUW,AllHomes_Tier3_ShareUW,AllHomes_AllTiers_ShareUW,UWHomes_ShareInTier1,UWHomes_ShareInTier2,UWHomes_ShareInTier3
Nation,United States,NA,NA,35461549,35452941,35484532,106399022,594672,542681,725955,1863308,1.22992E+11,1.95513E+11,5.97449E+11,9.15954E+11,310306,0.016769487,0.01530708,0.020458351,0.017512454,0.319148525,0.291245999,0.389605476
State,Alabama,Alabama,NA,546670,520247,491300,1558217,2890,2766,5046,10702,365986699,629176919,2583039495,3578203113,270254,0.005286553,0.005316705,0.01027071,0.006868106,0.270042983,0.258456363,0.471500654
State,California,California,NA,3060171,3076238,3169584,9305993,8090,14266,17783,40139,4859725390,12969249624,26666381753,44495356767,860373,0.002643643,0.004637483,0.005610515,0.004313242,0.201549615,0.355414933,0.443035452
State,Connecticut,Connecticut,NA,333904,334688,336254,1004846,4434,3807,7289,15530,1024758399,1807460170,8689479570,11521698139,442036,0.013279266,0.011374773,0.021677066,0.015455105,0.285511912,0.245138442,0.469349646
State,Delaware,Delaware,NA,102983,127573,127983,358539,4105,2574,3286,9965,615890421,687943979,1498012532,2801846932,241344.5,0.039860948,0.020176683,0.025675285,0.02779335,0.411941796,0.258304064,0.329754139
State,Florida,Florida,NA,2391491,2435575,2456637,7283703,313090,263276,331817,908183,53776974685,84327562563,2.78244E+11,4.16348E+11,276690,0.130918327,0.108096035,0.135069609,0.12468699,0.344743295,0.289893116,0.365363589
State,Georgia,Georgia,NA,1003890,986416,920843,2911149,5433,6904,9831,22168,1143841779,2318976705,6102691239,9565509723,295405,0.005411948,0.006999075,0.010676087,0.007614863,0.245083003,0.311439913,0.443477084
State,Hawaii,Hawaii,NA,132718,132760,139397,404875,16716,12536,7201,36453,5861105917,7957929785,11347781227,25166816929,500666,0.125951265,0.094426032,0.051658214,0.090035196,0.458563081,0.343894878,0.19754204
State,Louisiana,Louisiana,NA,439606,424665,417773,1282044,25678,23280,25237,74195,2767882743,3568865248,6755053878,13091801869,149888,0.058411396,0.054819681,0.060408404,0.057872429,0.346088011,0.313767774,0.340144215
State,Massachusetts,Massachusetts,NA,610378,611776,611920,1834074,16830,16491,24935,58256,5994030087,9525942056,34367948613,49887920756,582126,0.027573078,0.026955945,0.040748791,0.031763168,0.288897281,0.283078138,0.428024581
